City,State,Zip,Aspergillus flavus/oryzae,Aspergillus fumigatus,Aspergillus niger,Aspergillus ochraceus,Aspergillus penicillioides,Aspergillus restrictus*,Aspergillus sclerotiorum,Aspergillus sydowii,Aspergillus unguis,Aspergillus versicolor,Aureobasidium pullulans,Chaetomium globosum,Cladosporium sphaerospermum,Eurotium (Asp.) amstelodami*,Paecilomyces variotii,Penicillium brevicompactum,Penicillium corylophilum,Penicillium crustosum*,Penicillium purpurogenum,Penicillium spinulosum*,Penicillium variabile,Scopulariopsis brevicaulis/fusca,Scopulariopsis chartarum,Stachybotrys chartarum,Trichoderma viride*,Wallemia sebi,Acremonium strictum,Alternaria alternata,Aspergillus ustus,Cladosporium cladosporioides 1,Cladosporium cladosporioides 2,Cladosporium herbarum,Epicoccum nigrum,Mucor amphibiorum*,Penicillium chrysogenum,Rhizopus stolonifer,ERMI Score (Group I - Group II),Circulatory_loworreactivebloodpressure
Noblesville,Indiana,46062-5002,0,0,0,26,0,0,0,0,0,36,36,0,4,387,0,0,0,0,0,0,0,0,0,0,3,3,7,7,0,0,0,0,456,0,0,0,1.2,0
Davenport,Iowa,52807-1228,10,22,565,82,850,117,111,9,21,653,1814,362,100,1186,74,488,47,14,3,0,238,84,84,2469,148,260,420,258,71,19848,17,897,2606,177,529,4,27.7,0
Burlington,Iowa,52601-3485,3,3,7,11,0,0,0,0,0,0,1601,0,46,480,18,98,15,13,0,0,6,51,0,0,49,46,16,100,0,0,0,0,2067,54,21,0,7.1,0
Kalona,Iowa,52247,3048,2,130,102,0,13,13,0,0,51,1778,7,75,669,208,25,0,58,0,0,15,9,11,0,9,70,133,1625,0,0,0,0,21075,561,36,0,12.6,0
Armstrong,Iowa,50514-7574,0,3,24,13,0,4,41,0,0,158,237,20,20,342,0,52,267,0,0,0,190,5,0,0,6,35,7,277,0,0,0,0,1261,5,20,0,10.8,0
bel aire,Kansas,67226,6,3,11,0,54,0,0,0,0,0,4479,4,14,143,3,52,0,0,0,0,11,0,0,13,11,14,7,448,11,1553,32,1847,506,19,11,4,-0.2,0
Hillsboro,Kansas,67063,0,0,4,0,37,0,0,0,0,0,6366,1168,11,35,3,0,0,0,0,0,0,0,14,0,5,18,0,308,0,2188,0,216,1030,2,0,0,3.7,0
Manhattan,Kansas,66502,12,4,80,4,120,4,0,26,0,46,6185,10,45,454,5,33,3,0,0,0,4,897,6,0,217,37,70,888,0,6930,8,2639,4221,96,95,40,7.8,0
Olathe,Kansas,66062,0,4,28,5,0,10,0,0,0,0,6343,14,17,415,7,22,10,5,0,0,3,3,0,0,12,40,10,195,5,0,0,0,765,43,10,0,3.8,0
Wichita,Kansas,67218-1305,13,32,798,92,0,0,75,20,0,111,5841,0,57,312,111,1567,25,6,13,4,13,7,26,0,119,47,43,663,27,0,0,0,583,50,155,0,18.1,1
Franklin,Kentucky,42134,18,3,32,0,0,3,31,0,0,267,878,5,15,337,4,106,9,0,0,0,13,0,3,0,4,13,24,74,0,0,0,0,2019,6,5,0,9.3,0
